-,-,-,-,-,-,-,-,-,-,-,-
0.23,1.15,0.18,-39.25,68.97,-31.25,1.19,85.29,1,826,1,13
0.37,1.07,0.08,-15.14,90.88,-24.35,1.14,95.30,1,828,2,13
0.48,1.00,-0.09,3.11,82.03,-15.62,1.11,83.56,1,828,3,16
0.42,0.86,-0.20,3.72,51.33,2.56,0.98,51.53,1,827,3,13
0.34,0.92,-0.22,-5.37,19.04,25.33,1.01,32.14,1,830,2,16
0.22,0.94,-0.18,-15.01,-9.70,29.85,0.99,34.79,1,830,3,16
0.18,0.90,-0.23,-17.52,-20.14,35.34,0.94,44.29,1,833,3,17
0.25,0.90,-0.20,-31.80,-26.37,41.81,0.96,58.77,1,831,1,15
0.34,0.90,-0.11,-31.43,-27.47,40.22,0.97,57.97,1,835,1,17
0.45,0.77,-0.03,-27.34,-23.62,37.29,0.89,51.93,1,836,3,18
0.43,0.82,0.30,-22.95,-22.83,50.11,0.97,59.66,1,831,2,17
0.38,0.89,0.65,9.03,-7.39,59.57,1.17,60.70,1,841,4,22
1.59,1.25,0.07,193.85,-6.84,-83.74,2.03,211.27,2,695,2,52
0.38,1.22,0.06,47.36,11.60,-116.21,1.28,126.03,4,288,3,112
0.28,0.88,0.08,46.33,-5.80,-36.99,0.93,59.56,6,116,21,120
0.20,0.95,0.03,7.93,0.79,-10.31,0.97,13.04,6,111,28,112
0.26,0.93,-0.01,4.88,1.53,-7.57,0.97,9.14,6,110,34,105
0.24,0.95,0.02,10.07,0.06,-0.73,0.98,10.10,6,108,39,116
0.23,0.96,0.02,10.01,-0.24,0.92,0.99,10.05,6,105,43,121
0.24,0.96,0.02,9.95,0.18,-2.08,0.99,10.16,7,104,46,127
0.24,0.94,0.04,6.53,-0.12,-4.33,0.97,7.84,7,104,46,120
0.24,0.95,0.03,1.34,1.34,-1.95,0.98,2.72,6,103,48,120
0.24,0.95,0.03,1.59,1.04,-2.32,0.98,3.00,7,107,53,110
0.24,0.95,0.02,1.16,1.04,-1.83,0.98,2.40,6,105,55,105
0.24,0.95,0.03,2.32,0.85,-0.61,0.98,2.55,6,108,56,103
0.24,0.95,0.03,3.17,0.55,-0.43,0.98,3.25,6,109,57,103
0.24,0.96,0.03,3.54,0.24,-1.40,0.99,3.82,6,109,61,99
0.24,0.94,0.03,2.32,0.37,-1.65,0.97,2.87,6,111,62,93
0.24,0.95,0.03,-0.61,1.40,1.34,0.98,2.04,6,111,60,96
0.24,0.96,0.02,-1.10,0.98,0.12,0.99,1.47,6,115,69,92
0.25,0.96,0.02,-0.92,0.49,-2.56,0.99,2.77,6,121,73,85
0.24,0.94,0.04,3.54,-0.67,-4.15,0.97,5.50,6,127,78,73
0.25,0.98,0.02,2.08,-0.79,-6.59,1.01,6.96,6,130,84,60
0.25,0.95,0.02,3.91,-1.59,-10.62,0.98,11.43,6,133,88,57
0.26,0.98,0.03,1.46,-1.34,-12.33,1.02,12.49,6,138,90,46
0.26,1.08,0.01,3.48,-1.95,-15.87,1.11,16.36,5,140,92,37
0.26,0.96,0.04,10.13,-3.97,-25.70,1.00,27.90,4,149,96,26
0.29,1.12,0.02,2.38,-3.66,-34.91,1.15,35.18,3,166,100,12
0.46,1.41,-0.19,-35.89,-1.83,-82.28,1.49,89.78,2,224,99,4
0.26,2.89,-0.07,-41.26,-0.98,-174.74,2.90,179.55,1,339,91,4
0.06,2.84,-0.13,-5.74,-14.22,-297.73,2.85,298.12,1,490,56,2
0.17,1.96,-0.46,46.81,-29.85,-338.81,2.03,343.32,1,679,14,9
-0.84,0.03,-1.05,88.38,-69.15,-110.66,1.34,157.60,1,616,1,16
-1.11,0.28,-0.39,30.33,-105.65,4.58,1.21,110.02,1,676,1,17
-1.03,0.09,-0.36,19.65,-33.14,72.45,1.10,82.06,1,745,1,18
-0.82,0.09,-0.44,-23.07,60.24,95.34,0.93,115.11,1,789,5,20
-0.48,0.47,-0.41,-61.77,121.64,119.63,0.79,181.45,1,791,3,19
0.11,0.67,-0.55,-80.57,124.69,141.85,0.87,205.33,1,771,3,16
0.59,1.08,-0.37,-92.71,56.70,163.76,1.28,196.54,1,752,3,14
0.27,1.22,0.17,-60.42,-12.63,179.20,1.26,189.53,1,750,2,12
0.25,1.30,0.19,-53.41,28.63,159.18,1.34,170.32,1,749,3,12
0.69,1.44,-0.09,-30.70,19.04,118.96,1.60,124.32,1,760,4,12
0.77,1.15,-0.18,-33.02,-17.82,90.09,1.40,97.59,1,771,2,11
0.61,1.40,0.29,-57.19,-39.73,93.14,1.55,116.29,1,776,3,11
0.76,1.30,0.34,-24.96,-48.40,128.42,1.54,139.49,1,774,3,10
0.83,1.33,0.38,-14.83,-61.89,131.10,1.61,145.73,1,775,3,9
0.94,1.01,0.26,4.64,-64.94,128.72,1.41,144.25,1,774,3,11
0.99,0.87,0.33,-10.38,-42.36,107.36,1.36,115.88,1,779,3,12
1.03,1.03,0.66,2.62,-13.00,89.48,1.60,90.46,1,789,1,12
2.22,4.00,-0.02,25.33,22.16,-98.51,4.57,104.10,1,798,3,32
0.45,-0.74,-0.44,188.90,-87.34,-217.10,0.97,300.74,2,586,3,82
0.65,1.71,-0.06,72.02,-10.07,-188.23,1.83,201.79,4,303,3,126
0.59,0.60,0.15,70.25,-0.12,-58.72,0.85,91.56,5,125,14,129
0.23,0.93,0.06,21.85,-0.24,-19.47,0.96,29.27,6,124,38,113
0.26,0.93,0.01,13.24,1.59,-13.06,0.96,18.67,6,133,58,110
0.24,0.96,0.02,5.19,2.01,-1.77,0.99,5.84,6,136,73,104
0.24,0.96,0.02,3.05,1.95,-1.46,0.99,3.91,7,142,78,101
0.23,0.96,0.03,3.11,1.65,-2.32,0.99,4.22,6,146,88,97
0.24,0.95,0.03,1.59,2.26,-3.05,0.98,4.11,7,149,89,87
0.24,0.95,0.03,-0.24,2.38,-3.36,0.98,4.12,7,151,97,72
0.25,0.94,0.03,0.00,1.77,-2.69,0.97,3.22,7,153,103,65
0.25,0.93,0.02,-0.49,1.16,-2.56,0.97,2.86,6,153,102,59
0.24,0.93,0.02,4.39,-1.71,-5.00,0.96,6.88,6,154,104,57
0.25,0.95,0.02,1.71,-0.55,-3.85,0.99,4.24,6,154,102,54
0.25,0.95,0.03,2.50,-1.46,-4.88,0.98,5.68,6,154,104,45
0.23,0.98,0.02,0.79,-1.10,-3.72,1.01,3.96,6,156,107,43
0.26,0.99,0.01,-0.49,0.06,-2.99,1.03,3.03,6,156,107,41
0.25,0.96,0.03,3.66,-0.43,-3.97,0.99,5.42,5,157,106,36
0.25,0.96,0.00,7.14,-0.98,-5.80,0.99,9.25,5,160,107,33
0.27,0.98,0.05,3.60,-0.73,-8.30,1.02,9.08,5,159,112,29
0.27,0.96,0.01,1.83,-0.67,-10.44,1.00,10.62,4,164,113,22
0.27,0.90,0.05,1.71,-0.85,-9.46,0.94,9.65,4,167,118,19
0.28,1.00,0.02,-0.67,-0.73,-10.13,1.04,10.18,3,170,116,15
0.28,1.06,0.01,-2.75,-2.44,-21.73,1.10,22.04,3,181,120,9
0.35,1.65,-0.01,-26.00,-5.00,-67.26,1.69,72.28,2,231,124,4
0.35,2.82,-0.07,-27.16,-15.20,-145.75,2.84,149.04,1,309,108,3
0.30,3.09,-0.82,23.68,-32.78,-291.63,3.22,294.42,1,404,89,1
0.06,3.13,-0.26,-24.54,-79.77,-441.28,3.14,449.11,1,658,20,2
-1.06,-1.45,-1.33,114.75,-93.51,-230.41,2.24,273.86,1,643,5,18
-1.41,0.57,-0.40,-29.42,-180.42,-19.47,1.57,183.84,1,695,3,17
-1.19,-0.34,-0.56,-20.87,-107.85,95.76,1.36,145.73,1,741,2,19
-0.97,0.16,-0.09,-96.01,-5.43,120.85,0.99,154.44,1,761,2,19
-0.62,0.35,-0.13,-103.70,71.41,131.90,0.72,182.35,1,754,0,19
-0.46,0.70,0.07,-122.44,89.23,158.81,0.84,219.49,1,746,1,18
0.05,1.18,0.27,-101.14,74.77,189.45,1.21,227.40,1,740,0,17
0.76,1.47,0.39,-80.26,-3.97,193.05,1.70,209.11,1,729,0,14
0.44,1.55,0.69,-28.63,-71.04,178.59,1.75,194.32,1,722,1,15
0.57,1.27,0.18,-11.29,-88.87,152.59,1.40,176.94,1,723,2,16
0.66,1.21,-0.07,-50.48,-88.87,122.01,1.38,159.16,1,726,1,13
0.50,1.33,-0.01,-73.97,-72.57,93.20,1.42,139.37,1,736,1,14
0.45,1.26,0.01,-80.87,-45.53,97.78,1.33,134.81,1,747,2,12
0.61,1.43,0.24,-77.33,-25.21,130.25,1.57,153.56,1,754,1,11
0.97,1.15,0.09,-55.30,-47.55,170.47,1.51,185.42,1,762,1,12
1.15,1.20,0.25,-59.20,-103.58,137.08,1.68,181.73,1,763,0,13
0.92,1.05,0.80,-42.11,-143.25,90.33,1.61,174.51,1,768,2,14
0.78,1.35,1.31,41.20,-106.38,24.90,2.04,116.77,1,773,2,16
-0.28,1.26,-0.10,226.07,-86.55,-156.56,1.30,288.29,2,653,2,49
-0.38,0.72,0.02,163.70,-47.18,-210.82,0.81,271.05,3,318,4,111
0.35,0.92,0.15,100.46,-9.03,-76.42,1.00,126.55,5,130,4,143
0.26,0.68,0.25,63.29,1.71,-45.04,0.77,77.70,6,120,12,145
0.18,0.95,0.16,24.35,0.55,-20.69,0.98,31.96,6,133,37,138
0.17,0.95,0.07,13.06,1.04,-7.69,0.97,15.19,7,138,53,134
0.19,1.01,0.10,13.31,-2.14,-2.56,1.03,13.72,7,139,57,139
0.16,0.98,0.08,9.95,-2.26,-2.38,1.00,10.48,7,139,59,143
0.15,0.95,0.10,4.27,0.06,-1.28,0.96,4.46,7,139,62,143
0.16,0.97,0.09,1.34,1.28,-1.10,0.98,2.16,7,138,61,141
0.16,0.97,0.08,2.62,1.10,0.00,0.98,2.85,7,140,60,133
0.16,0.97,0.09,3.91,0.67,1.16,0.98,4.13,7,139,56,136
0.15,0.96,0.09,4.70,0.49,1.65,0.97,5.00,7,136,47,134
0.16,0.95,0.10,2.56,0.85,1.28,0.97,2.99,7,135,50,129
0.16,0.97,0.09,1.10,1.16,0.37,0.99,1.64,6,136,47,134
0.16,0.96,0.09,1.83,0.85,-0.37,0.98,2.05,7,134,45,132
0.15,0.96,0.09,2.26,0.98,-0.55,0.98,2.52,7,138,50,131
0.16,0.96,0.09,2.32,1.04,-0.67,0.98,2.63,7,138,51,124
0.15,0.97,0.10,1.77,1.34,-1.71,0.98,2.80,7,141,59,122
0.15,0.96,0.11,0.00,1.40,-3.60,0.98,3.87,7,147,66,117
0.16,0.98,0.09,-3.11,1.71,-6.10,1.00,7.06,7,151,78,107
0.17,1.01,0.09,-4.27,1.22,-8.12,1.02,9.25,7,154,87,82
0.18,1.00,0.07,0.12,-0.06,-10.38,1.02,10.38,6,161,98,64
0.17,1.00,0.09,9.95,-1.83,-14.40,1.02,17.60,6,163,104,46
0.17,1.04,0.10,6.35,-1.28,-17.58,1.05,18.73,4,168,110,22
0.08,1.21,0.16,5.98,1.59,-35.28,1.22,35.82,3,178,115,9
0.32,1.77,0.14,-45.53,4.64,-102.78,1.80,112.51,2,230,118,4
0.14,2.88,-0.08,-27.65,-0.79,-204.16,2.89,206.03,1,284,107,4
0.05,2.94,-0.53,20.32,-25.70,-339.29,2.99,340.87,1,441,87,3
0.18,3.20,-0.07,26.00,-55.79,-449.95,3.21,454.14,1,643,22,2
-1.44,-0.13,-0.57,80.51,-67.75,-379.82,1.55,394.13,1,707,8,16
-1.19,0.46,-0.64,-67.63,-118.04,-43.70,1.43,142.89,1,716,1,13
-1.28,0.48,0.08,-35.40,-91.92,51.15,1.37,110.99,1,748,1,16
-1.00,0.06,-0.22,-35.40,-1.40,96.07,1.03,102.39,1,765,1,15
-0.84,0.23,-0.25,-58.84,61.10,131.96,0.90,156.87,1,768,1,16
-0.57,0.37,-0.32,-70.19,75.93,196.17,0.76,221.75,1,757,0,15
-0.35,0.96,-0.02,-76.72,51.51,229.92,1.02,247.80,1,756,2,15
0.75,1.19,-0.26,-65.19,-10.19,253.54,1.43,261.98,1,749,1,11
0.98,1.64,0.08,-64.45,-162.05,217.22,1.91,278.57,1,738,1,12
0.25,1.14,0.42,-45.96,-247.19,193.79,1.24,317.44,1,744,0,12
0.56,1.58,0.42,-132.14,-175.42,190.73,1.73,290.88,1,747,1,13
0.84,1.63,0.46,-138.79,-137.82,198.85,1.89,278.93,1,741,0,13
0.69,1.88,1.30,-148.62,-91.67,171.75,2.39,244.93,1,743,0,10
1.11,1.93,2.14,-87.59,-5.49,115.54,3.09,145.09,1,743,2,11
1.49,3.67,1.41,18.74,83.13,0.00,4.21,85.22,1,751,3,19
2.26,1.28,-0.20,161.13,40.16,-143.31,2.60,219.35,1,692,2,43
0.47,2.81,-0.49,128.78,34.24,-160.95,2.89,208.96,3,311,3,111
0.23,0.90,0.15,103.27,-10.07,-64.45,0.94,122.15,5,131,5,140
0.02,0.94,0.20,36.25,-3.05,-20.39,0.96,41.71,5,118,12,145
0.06,0.95,0.11,6.41,0.92,-12.21,0.96,13.82,6,123,16,148
0.05,0.97,0.10,5.98,0.24,-2.75,0.97,6.59,6,126,24,149
0.05,0.97,0.11,7.45,-0.55,0.73,0.97,7.50,6,124,24,150
0.05,0.98,0.12,6.35,-0.98,1.53,0.98,6.60,6,126,24,153
0.04,0.96,0.14,4.58,-1.10,-1.40,0.98,4.91,7,127,25,155
0.04,0.97,0.12,-0.79,1.34,0.00,0.98,1.56,7,125,27,156
0.04,0.98,0.12,0.79,1.83,-1.16,0.98,2.31,7,126,24,154
0.04,0.97,0.12,1.65,1.95,-2.14,0.98,3.33,7,125,27,152
0.04,0.97,0.11,0.49,1.77,-1.83,0.98,2.59,6,125,26,146
0.04,0.97,0.12,0.31,1.46,-1.46,0.98,2.09,7,126,27,151
0.05,0.97,0.11,-0.49,1.65,-1.22,0.98,2.11,6,124,30,147
0.05,0.98,0.11,0.31,0.92,-1.59,0.98,1.86,7,127,33,142
0.05,0.98,0.11,1.10,0.61,-2.14,0.98,2.48,7,127,28,146
0.05,0.96,0.12,2.32,0.43,-2.93,0.97,3.76,7,131,32,145
0.05,0.97,0.12,2.50,0.12,-2.99,0.98,3.90,6,134,35,144
0.04,0.97,0.12,1.71,1.10,-2.26,0.98,3.04,7,138,37,141
0.05,0.98,0.12,0.12,1.83,-4.15,0.98,4.54,7,142,39,134
0.05,0.97,0.13,-2.08,2.01,-9.34,0.98,9.78,6,148,50,120
0.03,1.08,0.11,-11.72,-1.22,-19.65,1.09,22.91,5,155,63,87
0.08,1.38,0.03,-6.71,-7.20,-56.03,1.38,56.89,4,165,82,29
0.14,1.95,0.09,12.82,-17.64,-75.62,1.96,78.70,2,218,89,5
0.02,2.63,0.07,-22.22,-12.63,-224.43,2.63,225.88,1,279,83,5
-0.33,3.05,0.28,-65.25,-30.15,-369.38,3.08,376.31,1,452,45,4
0.01,3.22,-0.32,122.19,-22.40,-384.58,3.23,404.15,1,710,14,2
-1.77,-1.65,-1.52,301.33,-29.54,-265.69,2.86,402.82,1,740,2,19
-1.41,0.49,-0.46,-103.33,-51.51,14.47,1.56,116.36,1,746,0,15
-0.81,0.33,-0.26,0.98,-20.45,80.75,0.92,83.30,1,762,0,17
-0.65,0.17,-0.53,-43.70,5.00,96.31,0.86,105.88,1,769,0,15
-0.80,0.45,-0.27,-62.01,22.83,131.29,0.95,146.98,1,770,0,16
-0.71,0.62,-0.23,-72.63,59.39,170.29,0.97,194.42,1,777,0,17
-0.54,1.04,-0.14,-77.03,94.18,196.66,1.18,231.25,1,773,1,16
0.63,0.98,-0.56,-59.75,102.29,229.80,1.29,258.54,1,766,1,15
1.35,1.60,-0.31,-61.16,-94.36,207.34,2.12,235.87,1,756,1,16
0.19,1.17,0.59,-48.77,-189.58,215.70,1.32,291.28,1,764,2,16
0.78,1.78,1.13,-92.16,-61.83,205.51,2.25,233.56,1,774,1,14
2.31,1.78,0.95,-56.03,64.70,143.68,3.07,167.24,1,761,1,14
2.15,1.34,1.14,-8.06,34.61,63.78,2.78,73.01,1,755,0,15
2.83,2.87,0.15,12.02,37.72,-76.66,4.04,86.28,1,770,1,35
-0.03,0.64,-0.61,115.05,-11.17,-173.22,0.88,208.24,2,571,4,67
0.44,0.67,0.37,106.02,-15.87,-61.52,0.88,123.60,5,146,9,129
-0.02,0.95,0.12,31.43,-3.30,-17.76,0.95,36.25,5,127,27,131
0.09,0.93,0.09,12.94,-1.34,-11.17,0.94,17.15,5,122,46,130
0.03,0.94,0.12,4.03,-0.43,-2.32,0.94,4.67,6,126,52,136
0.05,0.99,0.08,-2.01,0.79,-1.59,1.00,2.68,6,131,58,141
0.04,0.99,0.10,2.56,-0.18,-0.85,0.99,2.71,7,135,62,139
0.04,0.97,0.11,3.97,0.18,-1.16,0.98,4.14,7,135,63,141
0.05,0.98,0.09,1.77,0.98,0.31,0.99,2.04,7,135,66,144
0.04,0.98,0.10,4.82,0.67,2.01,0.98,5.27,7,132,59,143
0.04,0.97,0.10,5.13,0.67,2.44,0.98,5.72,6,129,57,143
0.03,0.96,0.11,3.72,0.67,1.22,0.97,3.98,7,127,58,143
0.04,0.97,0.10,1.34,0.49,0.37,0.98,1.47,7,127,56,144
0.04,0.97,0.10,0.06,0.00,0.67,0.97,0.67,7,129,51,143
0.03,0.97,0.10,0.43,-0.31,0.92,0.98,1.06,7,130,45,142
0.03,0.98,0.10,1.16,0.06,0.18,0.99,1.18,6,130,45,143
0.03,0.97,0.10,1.59,0.55,-0.85,0.97,1.88,6,130,46,138
0.03,0.98,0.10,0.79,0.79,-1.22,0.98,1.66,6,133,46,136
0.03,0.99,0.11,0.92,1.65,-2.62,0.99,3.23,6,136,54,130
0.03,0.97,0.11,1.95,1.59,-4.27,0.98,4.96,6,142,64,121
0.02,0.96,0.12,-6.84,2.99,-8.30,0.97,11.16,6,147,72,94
0.03,1.14,0.08,-27.89,5.74,-34.67,1.14,44.86,4,160,89,42
0.24,1.41,-0.12,-21.91,1.65,-97.47,1.43,99.92,3,185,103,12
-0.02,2.91,0.03,-28.44,-5.19,-214.23,2.91,216.18,1,280,100,5
-0.27,2.40,-0.04,-5.07,-17.76,-336.61,2.41,337.12,1,443,77,5
-0.20,3.13,-0.05,64.88,-9.46,-402.10,3.13,407.41,1,694,16,0
-1.35,1.85,-0.31,226.68,-8.97,-333.92,2.31,403.70,1,749,3,16
-1.67,-1.02,-1.31,138.79,65.12,-63.05,2.35,165.77,1,745,1,18
-0.95,0.90,-0.34,-11.78,133.30,53.77,1.35,144.22,1,771,1,17
-0.44,-0.01,-0.98,23.25,130.62,102.11,1.07,167.42,1,775,0,19
-0.41,0.47,-0.77,-39.61,47.61,150.76,0.99,162.98,1,771,2,17
-0.38,0.72,-0.58,-36.01,17.40,203.37,1.00,207.26,1,773,1,16
-0.27,0.99,-0.46,-55.05,20.94,221.44,1.12,229.14,1,768,1,15
0.16,1.23,-0.51,-63.35,32.04,231.14,1.34,241.80,1,755,1,17
0.36,1.39,-0.41,-65.49,15.14,218.14,1.49,228.26,1,747,2,17
0.40,1.44,-0.20,-73.12,18.01,184.39,1.51,199.17,1,732,0,15
0.36,1.49,-0.04,-83.80,30.64,160.71,1.53,183.81,1,706,0,16
0.85,1.71,0.23,-75.81,15.62,164.37,1.92,181.68,1,683,0,16
1.32,1.44,0.34,-44.43,-8.85,140.44,1.99,147.57,1,649,0,14
1.49,1.29,0.62,-18.37,-7.63,85.45,2.07,87.73,1,638,1,12
1.82,0.96,0.26,7.26,29.05,44.43,2.07,53.58,1,642,0,14
1.77,0.63,-0.06,2.81,22.46,-1.71,1.88,22.70,1,644,1,14
1.20,0.47,-0.02,4.15,-11.11,-34.55,1.29,36.52,1,642,1,15
-0.17,-0.96,2.88,334.41,-22.64,-92.90,3.04,347.81,4,166,4,103
-0.16,0.55,0.09,67.93,-9.95,-25.45,0.58,73.22,4,130,7,127
-0.06,0.94,-0.12,1.71,2.08,-13.92,0.95,14.17,4,129,19,118
-0.08,0.97,-0.10,9.16,0.49,-1.65,0.97,9.32,5,125,24,125
-0.10,0.98,-0.10,4.52,0.43,4.58,0.99,6.44,5,121,27,134
-0.10,0.98,-0.11,2.01,0.67,3.36,1.00,3.97,5,121,28,138
-0.10,0.97,-0.09,3.17,0.98,0.12,0.98,3.32,6,123,37,139
-0.10,0.98,-0.11,0.73,1.10,0.73,0.99,1.51,6,124,40,140
-0.10,0.97,-0.09,2.14,0.98,0.73,0.98,2.46,6,127,41,140
-0.11,0.98,-0.10,1.16,1.22,1.65,0.99,2.36,6,128,41,143
-0.10,0.97,-0.10,0.49,0.92,0.79,0.98,1.31,6,130,40,138
-0.11,0.97,-0.10,-0.49,0.92,1.40,0.98,1.75,6,131,35,137
-0.11,0.98,-0.10,0.00,0.92,1.71,0.99,1.94,6,127,31,138
-0.11,0.98,-0.10,0.61,1.22,0.67,0.99,1.52,6,127,31,143
-0.11,0.98,-0.10,1.40,1.28,-0.43,0.99,1.95,6,126,29,141
-0.11,0.97,-0.10,1.10,1.28,0.06,0.98,1.69,6,123,26,141
-0.11,0.97,-0.10,0.85,1.16,0.00,0.99,1.44,6,123,27,142
-0.11,0.97,-0.10,0.85,1.22,-0.67,0.99,1.63,6,121,25,140
-0.11,0.98,-0.10,0.12,1.28,-0.98,0.99,1.62,6,123,29,135
-0.11,0.98,-0.10,0.79,1.16,-2.56,1.00,2.92,6,126,34,135
-0.11,0.99,-0.10,2.01,0.79,-6.41,1.00,6.76,6,133,47,127
-0.10,0.98,-0.10,3.05,0.24,-10.25,0.99,10.70,6,142,59,107
-0.08,1.01,-0.11,3.66,-1.16,-15.14,1.02,15.62,6,146,70,84
-0.08,1.02,-0.12,4.46,-6.16,-34.00,1.03,34.84,5,154,80,50
-0.11,1.37,-0.08,-5.62,-7.69,-44.92,1.38,45.92,4,162,90,22
-0.04,1.80,-0.23,-30.40,-1.16,-89.60,1.81,94.62,3,177,99,8
-0.01,1.57,-0.22,-9.28,-5.00,-155.21,1.58,155.57,2,209,103,3
-0.05,2.07,-0.17,-26.18,-11.96,-237.55,2.08,239.29,1,282,101,3
-0.15,2.13,-0.45,8.73,-12.45,-323.30,2.19,323.66,1,407,75,3
0.03,2.63,-0.27,47.06,-30.03,-383.00,2.64,387.04,1,618,27,2
0.20,2.27,-0.32,70.56,-38.94,-362.18,2.30,371.04,1,758,10,2
-0.63,-0.06,-0.48,156.37,-39.37,-283.87,0.79,326.48,1,771,1,17
-0.94,0.07,-0.70,31.92,-1.04,44.13,1.18,54.47,1,796,1,16
-0.46,0.47,-0.24,34.67,18.31,64.51,0.70,75.49,1,809,2,17
-0.51,0.40,-0.39,37.54,44.56,102.66,0.76,118.04,1,804,1,18
-0.34,0.29,-0.50,31.74,62.07,121.83,0.67,140.36,1,802,1,17
-0.44,0.40,-0.38,4.70,70.13,129.70,0.71,147.52,1,798,0,18
-0.34,0.64,-0.36,5.49,84.23,155.46,0.81,176.89,1,790,1,20
-0.05,0.74,-0.54,2.56,81.73,180.66,0.92,198.31,1,779,0,18
0.25,1.00,-0.49,-14.16,47.97,188.23,1.14,194.77,1,771,1,18
0.33,1.26,-0.31,-19.35,20.08,173.89,1.33,176.11,1,764,0,17
0.50,1.52,-0.19,-12.57,10.13,137.08,1.61,138.03,1,761,2,15
0.72,1.53,-0.22,4.15,-32.71,96.07,1.71,101.57,1,768,1,15
0.72,1.16,-0.17,-1.95,-77.70,53.22,1.38,94.20,1,798,0,15
0.62,1.02,0.17,-28.38,-78.98,103.76,1.21,133.45,1,802,0,13
1.13,1.13,0.35,-40.77,-38.45,133.00,1.64,144.32,1,807,0,14
1.61,1.02,0.45,-29.72,-9.22,149.72,1.96,152.92,1,813,0,12
2.13,0.88,0.38,-16.85,4.76,80.26,2.33,82.15,1,810,1,13
2.09,3.59,1.45,31.07,23.50,-75.38,4.40,84.85,1,809,1,29
-0.27,-0.47,0.52,53.04,67.38,-181.82,0.75,201.03,2,696,0,76
0.36,1.71,-0.25,42.11,-6.90,-52.86,1.77,67.93,3,215,6,122
0.13,0.96,0.02,17.46,-1.10,-13.24,0.96,21.94,4,148,23,126
0.09,0.97,-0.05,6.35,0.79,-4.27,0.98,7.69,5,134,32,127
0.10,0.97,-0.04,7.20,0.06,-0.49,0.98,7.22,5,127,39,134
0.09,0.97,-0.03,3.23,0.49,3.85,0.97,5.05,6,126,42,138
0.08,0.99,-0.04,3.54,0.06,3.05,0.99,4.67,6,125,44,143
0.07,0.98,-0.03,4.09,0.61,0.92,0.98,4.23,6,126,45,142
